Wavelength[nm]	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:29  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:30  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:31  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:32  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:33  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:34  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1	1712306U3-   13.08.2020  13:17:35  Int.Delay = 4,48 µs, HWmode=1
323.833	1185.337332	1228.380308	1205.203321	1084.351889	1223.413811	1223.413811	1304.533265	1345.920742	1375.719725	1263.145788	1182.026334	1168.782341	1246.590798	1201.892323	1095.940383	1147.260854	1191.959328	1056.208405	1215.136315	1143.949855	1167.126842	1170.437841	1143.949855	1177.059837	1173.748839	1140.638857	1127.394865	1112.495373	1105.873377	1190.303829
323.922	1077.365076	1011.88985	1022.306363	1046.115536	1050.579756	1130.935715	1104.150395	1185.994427	1075.877002	1123.495348	1019.330217	1126.471495	1098.198102	1163.673328	1068.436636	1059.508196	1038.67517	1049.091683	1037.187096	1102.662322	1108.614615	1072.900856	1071.412783	1026.770583	1013.377923	1023.794437	1017.842143	1062.484343	1059.508196	1068.436636
324.011	1180.116683	1167.289327	1115.979906	1208.978232	1180.116683	1180.116683	1202.564554	1149.651714	1058.256808	1149.651714	1165.685908	1194.547457	1202.564554	1205.771393	1136.824359	1079.10126	1109.566229	1119.186745	1111.169648	1176.909844	1074.291002	1160.87565	1189.737199	1058.256808	1157.668811	1146.444875	1146.444875	1099.945712	1087.118357	1234.632942
324.100	1053.660432	1047.604912	1068.799231	1017.327313	1105.132349	1177.798586	1102.104589	1094.53519	1077.88251	1112.701749	1062.743711	1150.548747	1102.104589	1096.04907	1064.257591	1064.257591	1136.923828	1046.091032	1079.39639	1046.091032	1141.465467	1099.076829	1077.88251	1017.327313	1027.924473	1111.187869	1005.216274	1023.382833	1047.604912	1130.868308
324.189	1079.180972	1039.805451	1042.722156	1000.429929	1001.888281	1109.806378	1095.222852	1044.180509	1101.056262	1036.888745	1063.139093	1090.847794	1089.389441	1019.388513	1029.596982	1064.597446	982.9296966	971.2628752	1051.472272	1015.013455	1023.763571	1022.305219	1020.846866	1012.09675	1063.139093	1057.305683	1023.763571	996.0548706	1033.97204	980.0129912
324.277	1008.705862	960.210388	967.1383129	954.6680481	985.1509175	1001.777937	1083.527451	1188.831909	987.9220875	1046.116656	1073.828356	1068.286016	1125.095	985.1509175	929.7275185	958.824803	944.9689532	993.4644274	1012.862617	938.0410284	1005.934692	1029.489637	951.8968781	924.1851786	928.3419335	983.7653326	1030.875222	870.1473646	933.8842734	940.8121983
324.366	1130.217043	1115.306528	1092.940755	1078.03024	1045.227107	1180.912794	1122.761786	1130.217043	1075.048137	1131.708095	1148.109661	1157.05597	1200.296464	1075.048137	1069.083931	1007.950819	1113.815477	963.2192742	1073.557086	1052.682365	1118.288631	1082.503395	1118.288631	1086.976549	1070.574983	1061.628674	1097.41391	1006.459768	1088.467601	1066.101828
324.455	1058.325699	1127.41521	1174.521695	1041.053321	1124.274778	1155.679101	1182.372776	1227.909045	1253.032504	1240.470775	1128.985426	1136.836507	1229.479261	1143.117372	1114.853481	1130.555643	1111.713049	1094.440671	1161.959966	1154.108885	1063.036347	1177.662128	1144.687588	1096.010887	1066.17678	1094.440671	1059.895915	1141.547156	1072.457644	1182.372776
324.544	935.3334766	894.1066567	887.6649661	863.1865418	972.6952822	983.0019871	1028.093821	959.8119009	963.6769153	941.7751672	892.8183186	963.6769153	948.2168578	925.0267716	851.5914987	952.0818722	885.0882899	874.7815849	914.7200667	882.5116136	918.585081	946.9285197	927.6034479	919.8734192	895.3949948	946.9285197	870.9165705	919.8734192	904.4133617	931.4684623
324.633	1051.97298	1017.576043	1105.001591	1050.539774	1044.806952	1063.438626	1116.467236	1106.434797	1036.207718	1110.734414	1086.369917	1086.369917	1093.535945	1010.410015	993.2115467	990.3451353	1016.142838	976.0130783	986.0455182	1006.110398	1021.875661	1020.442455	991.778341	904.3527936	968.8470498	994.6447524	1041.94054	978.8794897	977.446284	1040.507335
324.722	887.3834208	887.3834208	931.2512452	817.1949016	988.9061003	943.7849094	961.3320392	966.3455048	927.491146	911.1973826	883.6233215	923.7310468	972.6123369	996.4262987	863.5694589	907.4372834	848.529062	794.6343062	938.7714437	869.836291	918.7175811	858.5559933	883.6233215	883.6233215	848.529062	913.7041155	862.3160925	882.3699551	846.0223291	918.7175811
324.810	1018.129864	1033.7934	1119.230871	998.1944538	1082.207967	1181.885017	1082.207967	1114.958998	1090.751714	1080.784009	1072.240262	1076.512136	1079.360051	1065.120473	982.5309174	922.7246877	1063.696515	958.3236339	1016.705906	1066.544431	1055.152768	1029.521527	1015.281948	999.6184116	1029.521527	965.4434232	991.0746645	1026.673611	1006.738201	964.0194653
324.899	1002.865229	932.6781606	963.7224409	1008.264234	1031.210007	985.318462	1017.712494	1010.963737	1040.658266	970.4711975	1024.46125	1015.012991	1064.95379	1069.003044	927.2791553	901.6338803	952.9244304	947.5254251	936.7274145	978.5697054	963.7224409	956.9736843	936.7274145	908.3826369	919.1806474	963.7224409	959.6731869	932.6781606	897.5846263	977.2199541
324.988	958.3377883	858.0017514	944.1878344	891.447097	935.1833183	891.447097	1009.792166	1021.369401	972.4877422	966.055945	931.3242399	951.9059911	949.3332722	981.4922584	885.0152998	930.0378805	855.4290325	888.8743782	940.328756	854.1426731	921.0333643	914.6015671	908.1697699	894.0198159	922.3197238	906.8834104	926.1788021	878.5835026	899.1652537	858.0017514
325.077	1020.782464	1015.272167	998.7412769	1027.670335	1052.46667	1040.068502	973.9449418	1082.773302	995.9861286	1092.416321	993.2309802	949.1486066	1089.661172	1052.46667	983.587961	918.8419748	964.3019225	920.2195489	1005.629148	1026.29276	1091.038747	1016.649741	964.3019225	940.8831616	967.0570709	971.1897934	987.7206835	913.3316781	1012.517019	990.4758319
325.165	785.3520493	849.0292425	857.2836934	799.5025367	900.9143629	924.4985085	876.1510099	909.1688138	905.631192	890.3014973	865.5381444	858.4629007	844.3124134	873.7925954	818.3698532	825.4450969	816.0114386	826.6243041	874.9718027	859.642108	849.0292425	865.5381444	844.3124134	844.3124134	825.4450969	865.5381444	811.2946095	801.8609512	772.3807692	905.631192
325.254	950.9834176	916.0109015	932.1520628	936.1873531	960.399095	969.8147724	995.3716111	956.3638047	985.9559337	975.1951595	979.2304498	979.2304498	977.885353	1014.202966	940.2226434	909.2854177	883.728579	906.5952241	967.1245789	965.7794821	971.1598692	961.7441918	903.9050306	913.320708	878.3481919	932.1520628	917.3559983	944.2579337	934.8422563	963.0892885
325.343	910.1198465	920.0801185	892.6893707	860.318487	854.093317	952.4510022	905.1397106	903.8946766	949.9609342	954.9410702	927.5503224	908.8748126	911.3648805	886.4642007	820.4773993	901.4046086	830.4376712	827.9476032	862.8085549	811.7621613	892.6893707	886.4642007	942.4907303	913.8549485	883.9741328	877.7489628	920.0801185	815.4972633	874.0138608	926.3052884
325.432	910.2985011	971.4185433	901.195516	949.311294	989.6245133	912.8993539	959.7147054	963.6159847	970.1181168	932.4057504	977.9206754	907.6976482	948.0108675	1044.242423	819.268651	922.0023389	873.886561	898.5946632	961.0151318	907.6976482	907.6976482	893.3929575	903.7963689	880.3886932	879.0882667	936.3070297	936.3070297	901.195516	888.1912517	929.8048975
325.520	917.6717004	871.2725695	902.2053234	906.0719177	920.2494299	975.6706141	890.6055407	949.8933191	911.2273767	951.1821839	943.4489954	969.2262903	893.1832702	958.9153723	882.8723522	913.8051062	912.5162414	897.0498645	851.9395983	976.9594788	953.7599134	916.3828357	958.9153723	890.6055407	875.1391637	925.4048889	912.5162414	844.2064098	931.8492126	882.8723522
325.609	964.452924	1080.298934	958.8699838	928.1638125	1016.095121	1010.512181	964.452924	1020.282326	1010.512181	1059.362908	1020.282326	1057.967173	954.6827786	1018.886591	961.6614539	1046.801292	1032.843942	1010.512181	989.576155	946.3083683	1010.512181	1000.742035	971.4315993	977.0145395	890.478966	961.6614539	1004.929241	951.8913085	981.2017447	985.3889499
325.698	954.6880039	904.3052811	922.3913867	935.3100336	890.0947695	919.8076573	950.8124098	962.439192	943.0612217	948.2286804	870.7167992	1007.654456	957.2717332	936.6018982	877.1761226	922.3913867	844.8795055	869.4249345	892.6784989	921.099522	895.2622283	897.8459576	948.2286804	913.3483339	917.2239279	919.8076573	892.6784989	890.0947695	848.7550995	943.0612217
325.787	1090.362128	1105.611948	1137.63657	1123.911732	1075.112308	1097.987038	1126.961696	1105.611948	1148.311444	1108.661912	1155.936354	1145.26148	1113.236858	1122.38675	1072.062344	1006.488118	1102.561984	1036.987758	1168.13621	1140.686534	1076.63729	1116.286822	1116.286822	1001.913172	1041.562704	1030.88783	1081.212236	1120.861768	986.6633523	1104.086966
325.875	938.5066373	929.4075425	930.7074132	916.4088356	873.5131029	991.8013356	968.4036632	977.502758	916.4088356	969.7035339	959.3045683	991.8013356	956.704827	994.4010769	877.412715	873.5131029	912.5092236	984.0021114	906.0098701	963.2041804	919.008577	924.2080598	960.604439	956.704827	946.3058615	922.9081891	912.5092236	915.1089649	924.2080598	929.4075425
325.964	1011.170975	1013.911276	964.5858626	960.4754115	1048.165035	1008.430675	985.1381182	1115.302404	1037.203832	938.5530055	994.7291708	1038.573983	1000.209772	1013.911276	994.7291708	978.2873664	956.3649604	991.9888701	964.5858626	982.3978175	948.1440582	894.7081936	953.6246596	963.2157123	913.8902988	1034.463532	931.7022537	913.8902988	919.3709003	959.1052611
326.053	997.9725656	940.9455618	913.7898458	1037.348354	991.1836366	969.4590637	1046.852855	1006.11928	1031.917211	1014.265995	1035.990568	1000.688137	1012.908209	1033.274996	947.7344908	940.9455618	923.2943464	964.0279205	907.0009167	959.9545631	1004.761495	1007.477066	1004.761495	934.1566328	886.6341297	901.5697735	942.3033476	1019.697138	949.0922766	883.9185581
326.141	862.4810563	856.581733	838.8837633	748.0341856	828.2649815	856.581733	851.8622744	880.1790259	867.2005148	871.9199734	876.639432	899.0568603	851.8622744	894.3374017	768.0918846	822.3656583	805.8475532	844.7830866	829.4448462	870.7401088	858.9414623	791.6891775	886.0783492	805.8475532	843.6032219	894.3374017	841.2434926	856.581733	837.7038987	779.890531
326.230	917.9857968	855.074882	910.2824194	893.5917686	873.0494291	980.8967115	928.2569665	929.5408627	932.1086552	956.5026833	917.9857968	884.6044951	930.824759	960.354372	894.8756648	906.4307308	930.824759	919.269693	910.2824194	898.7273535	984.7484002	898.7273535	911.5663157	878.185014	943.6637211	855.074882	852.5070896	961.6382682	866.629948	906.4307308
326.319	860.0074086	913.3608963	945.1189247	960.3627783	879.0622256	915.9015385	901.9280061	927.3344288	891.765437	903.1983272	933.6860344	882.873189	871.4402988	947.6595669	905.7389695	873.9809411	862.5480509	886.6841524	932.4157133	927.3344288	913.3608963	913.3608963	834.6009859	912.0905751	856.1964452	885.4138313	847.3041972	889.2247947	900.6576849	928.6047499
326.407	996.8310326	956.7365805	1012.039273	992.6833307	1017.569542	981.6227922	941.5283401	1074.254802	1042.455754	981.6227922	1030.012648	983.0053595	955.3540132	1045.220889	933.2329362	1002.361302	974.7099556	923.554965	998.2135999	918.0246958	1012.039273	967.797119	1047.986023	933.2329362	963.6494171	977.4750902	926.3200997	966.4145517	996.8310326	1020.334677
